"","Classical.cor","Classical.p_value","Mesenchymal.cor","Mesenchymal.p_value","Neural.cor","Neural.p_value","Proneural.cor","Proneural.p_value","Calls"
"MGH264_F10","0.056308469824815","0.22","-0.16765069892641","1","-0.0105435634968741","0.51","0.13418805691068","0","Proneural"
"MGH264_F12","0.105274712194452","0.04","-0.210551618643274","1","0.00979554449348555","0.46","0.168591496590011","0","Classical Proneural"
"MGH264_G01","0.0487342235511389","0.21","-0.164379072790862","1","0.0609542841358445","0.18","0.0721306701115034","0.06","NA"
"MGH264_G02","-0.0481825746415317","0.75","-0.252879339149244","1","0.0421674062098671","0.24","0.228043505144096","0","Proneural"
"MGH264_G03","0.191350068563374","0","-0.145684641745458","1","-0.0938890734543992","0.97","0.032825630992562","0.28","Classical"
"MGH264_G04","0.127954350297461","0","-0.239591832213353","1","0.137372662805662","0.02","0.0761271543815525","0.13","Classical Neural"
"MGH264_G06","-0.0988774780521179","0.97","-0.278562127966825","1","-0.0149144596766098","0.6","0.403535951037588","0","Proneural"
"MGH264_G08","-0.0257514705854217","0.72","-0.243338774630598","1","-0.0279532324984652","0.69","0.304069755498067","0","Proneural"
"MGH264_G09","0.0268477192217824","0.33","-0.257094750071247","1","-0.0697111818871452","0.9","0.251789787706793","0","Proneural"
"MGH264_G10","-0.0603804806515543","0.86","-0.107549371968222","0.96","-0.144008159328451","0.99","0.262721258766672","0","Proneural"
"MGH264_G11","-0.0225034085316664","0.69","-0.208405444788288","1","-0.128508214664537","1","0.307179049665331","0","Proneural"
"MGH264_G12","0.0526775364394923","0.13","-0.26628809201801","1","-0.0207401057921223","0.57","0.230029159451328","0","Proneural"
"MGH264_H01","-0.0667885906760059","0.84","-0.0409172798615943","0.77","0.156116037203171","0.01","0.0514967027947405","0.18","Neural"
"MGH264_H02","-0.108337884252217","0.96","-0.330438872010014","1","0.0159212843933409","0.38","0.419643738290811","0","Proneural"
"MGH264_H03","-0.0354960595571363","0.73","-0.195367680305491","1","-0.100760012684502","0.91","0.294108252096534","0","Proneural"
"MGH264_H04","0.0806847455380943","0.03","-0.188079631589601","1","-0.072642836333382","0.94","0.171216612549081","0","Classical Proneural"
"MGH264_H08","0.0432819827216474","0.18","-0.176516556011291","1","0.0106726642457088","0.46","0.15217435088097","0","Proneural"
"MGH264_H10","-0.0146908998775356","0.64","-0.285184733888339","1","0.0744879095940289","0.12","0.245389733246815","0","Proneural"
"MGH264_H12","-0.158316187874419","0.99","-0.102856227902073","0.98","0.11480842989623","0.02","0.185615073490763","0","Neural Proneural"
"MGH26_A02","0.0897501960931621","0.08","-0.118957365539368","1","0.0460029673031712","0.16","0.0302939670670206","0.25","NA"
"MGH26_A03","-0.0287562351281125","0.79","-0.0254417067882617","0.72","0.126268588569308","0.01","0.0142838613574636","0.34","Neural"
"MGH26_A05","-0.0180068354919107","0.54","-0.177661746001855","0.99","0.116490969140793","0.04","0.127629295117899","0.01","Neural Proneural"
"MGH26_A07","0.0115862383435468","0.29","-0.264212409984462","1","0.170048646410874","0","0.213050898730628","0","Neural Proneural"
"MGH26_A08","0.00669450825353578","0.32","-0.155973225192166","1","0.0672955276257983","0.18","0.111697334643275","0.03","Proneural"
"MGH26_A09","-0.0161601509894687","0.64","-0.111261269879952","0.99","0.149134727910102","0","0.00121809891978314","0.42","Neural"
"MGH26_A12","0.0206224851410779","0.31","-0.0906615456036769","0.91","0.0802579678676095","0.06","0.0617764264828574","0.22","NA"
"MGH26_B01","0.0125195501533752","0.38","-0.039300801693415","0.71","0.174904929181392","0","-0.0549461704202573","0.89","Neural"
"MGH26_B02","-0.0504564396249072","0.81","-0.399862440245593","1","0.138198424225666","0.01","0.413017908551554","0","Neural Proneural"
"MGH26_B05","-0.0154747690108658","0.56","0.0831076420183621","0.11","-0.0234000645906556","0.68","-0.0774797920047773","0.93","NA"
"MGH26_B06","0.151523192466156","0","-0.0616857816989133","0.89","-0.0524312178500619","0.8","-0.0135946526101921","0.64","Classical"
"MGH26_B10","-0.264327841784919","1","-0.241094717846414","1","0.153778326763664","0","0.40813423417872","0","Neural Proneural"
"MGH26_B12","0.0373943037970224","0.23","-0.243917613187207","1","0.133318174233445","0.01","0.115473884386141","0.02","Neural Proneural"
"MGH26_C01","0.204264574361781","0","-0.0935541271450913","0.89","0.0630023738626776","0.1","-0.0597700274354236","0.86","Classical"
"MGH26_C03","-0.253034446637637","1","0.011718358990678","0.49","0.278066296356309","0","0.0699242756561092","0.09","Neural"
"MGH26_C05","-0.151380194756839","0.97","-0.180317475023237","1","0.103206079134731","0.03","0.285192646130588","0","Neural Proneural"
"MGH26_C12","-0.113563544204268","0.96","-0.345764599611489","1","0.19262999876438","0","0.338058501778617","0","Neural Proneural"
"MGH26_D01","0.0520251849176895","0.17","-0.115697018095251","0.98","0.0931203097128983","0.03","0.056253290458186","0.18","Neural"
"MGH26_D03","0.053714571939882","0.2","-0.18400399587925","1","0.1177205480357","0.02","0.0943569472926522","0.05","Neural Proneural"
"MGH26_D06","0.0607162231606142","0.13","-0.0966283761806121","0.96","0.103765381442866","0.05","0.0366396421109372","0.21","Neural"
"MGH26_D07","0.00393686792117284","0.53","-0.124236598749475","0.99","-0.0498792122518023","0.74","0.178233168463004","0","Proneural"
"MGH26_D08","-0.0831092616293143","0.94","-0.157217103732743","1","0.0121823978077445","0.43","0.215880038202551","0","Proneural"
"MGH26_D10","0.0365208093388382","0.2","-0.0979129385724198","0.97","0.137774869038771","0","0.023168249510485","0.35","Neural"
"MGH26_E02","-0.0555675000042802","0.84","-0.234628402363289","1","0.100004944498259","0.03","0.238819491355088","0","Neural Proneural"
"MGH26_E04","0.0988655951438789","0.09","-0.192506920786326","1","0.125002152518336","0.03","-0.00193792126424493","0.52","Neural"
"MGH26_E05","-0.139361136586075","0.99","-0.175292415180716","1","0.165430021805137","0","0.220647501749209","0","Neural Proneural"
