cell.instance,tumor.label
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D08-S140-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D10-S142-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B06-S114-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-G10-S370-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B06-S18-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C08-S320-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-F09-S357-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G12-S84-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E12-S348-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D07-S43-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C10-S322-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D11-S47-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-H06-S378-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G01-S169-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-A09-S105-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C11-S131-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E06-S54-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E06-S342-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A08-S8-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A03-S3-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H12-S192-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H06-S186-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-A03-S291-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C09-S33-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E02-S338-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H08-S188-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-A04-S100-comb,Mel79
